requirement_id,title,priority,owner,authority,verification,source,implementation_status,test_ids
RET-CON-001,Deterministic conflict search,P0,Conflict Domain,FIRM_POLICY,Search-scope test,AUTH-003; ENT-027,NOT_STARTED,
RET-CON-002,Search evidence,P0,Conflict Domain,FIRM_POLICY,Audit completeness test,Compliance B01-B02,NOT_STARTED,
RET-CON-003,Candidate not clearance,P0,Conflict Domain,PROHIBITED,Copy + state test,INV-003,NOT_STARTED,
RET-CON-004,Attorney clearance,P0,Conflict Domain,ATTY_AUTH,Authority test,AUTH-004,NOT_STARTED,
RET-CON-005,Conflict hold,P0,Workflow Runtime,ATTY_AUTH,Fail-closed test,CONFLICT_HOLD,NOT_STARTED,
RET-CON-006,Party-change invalidation,P0,Conflict Domain,FIRM_POLICY / ATTY_AUTH,Invalidation test,REL-006,NOT_STARTED,
RET-CON-007,Search scope configuration,P1,SaaS Admin Adapter,FIRM_POLICY,Configuration contract test,Policy Registry,NOT_STARTED,
RET-CON-008,Manual conflict record,P1,Conflict Domain,ATTY_AUTH,Permission test,Confidential work product,NOT_STARTED,
RET-CON-009,No cross-tenant conflict pool,P0,Tenant Core,PROHIBITED,Cross-tenant penetration test,INV-001,NOT_STARTED,
RET-CON-010,Reopen after hold,P0,Conflict Domain,ATTY_AUTH,Transition test,conflict.cleared_by_attorney,NOT_STARTED,
RET-TPL-001,Approved template only,P0,Template Domain,FIRM_POLICY,Policy resolution test,ENT-033; AUTH-006,NOT_STARTED,
RET-TPL-002,California v1 scope,P0,Jurisdiction Module,FIRM_POLICY,Feature-flag test,Compliance C10-C12,NOT_STARTED,
RET-TPL-003,Version-locked template,P0,Template Domain,ATTY_AUTH,Mutation test,INV-006,NOT_STARTED,
RET-TPL-004,Deterministic template mapping,P0,Policy Registry,FIRM_POLICY,Decision-table test,AUTH-006,NOT_STARTED,
RET-TPL-005,No AI clause selection,P0,Authority Gate,PROHIBITED,Prohibited-action test,INV-020,NOT_STARTED,
RET-TPL-006,Merge-field provenance,P0,Package Domain,SYS_ADMIN,Provenance test,INV-007,NOT_STARTED,
RET-TPL-007,Required-field preflight,P0,Package Domain,FIRM_POLICY,Negative preflight test,TV-CMP-002,NOT_STARTED,
RET-TPL-008,Document immutability,P0,Document Service,SYS_ADMIN,Hash + mutation test,INV-006,NOT_STARTED,
RET-TPL-009,Package manifest,P0,Package Domain,FIRM_POLICY,Manifest validation test,ENT-034,NOT_STARTED,
RET-TPL-010,Attorney revision flow,P1,Template Domain,ATTY_AUTH,Versioning E2E test,AUTH-007,NOT_STARTED,
RET-TPL-011,Preview parity,P0,Document Service,FIRM_POLICY,Byte/hash parity test,Signature integrity,NOT_STARTED,
RET-TPL-012,Translation exclusion,P1,Jurisdiction Module,PROHIBITED,Feature flag test,Compliance C14,NOT_STARTED,
RET-PRT-001,Secure portal access,P0,Portal,CLIENT_AUTH,Security E2E test,Privacy/security,NOT_STARTED,
RET-PRT-002,Firm identity,P0,Portal,FIRM_POLICY,Content snapshot test,Compliance H12,NOT_STARTED,
RET-PRT-003,Electronic consent,P0,Consent Ledger,CLIENT_AUTH,Consent lifecycle test,AUTH-010; INV-012,NOT_STARTED,
RET-PRT-004,Retainable documents,P0,Portal,SYS_ADMIN,Download test,UETA requirement,NOT_STARTED,
RET-PRT-005,Client review state,P0,Portal,CLIENT_AUTH,State semantics test,Compliance D11,NOT_STARTED,
RET-PRT-006,Logistical help only,P0,Portal,FIRM_POLICY,Content + escalation test,AUTH-008,NOT_STARTED,
RET-PRT-007,Question capture,P1,Question Domain,CLIENT_AUTH,Portal E2E test,ENT-039,NOT_STARTED,
RET-PRT-008,Attorney response attribution,P0,Question Domain,ATTY_AUTH,Authority test,engagement.question_escalated,NOT_STARTED,
RET-PRT-009,Alternative channel,P1,Portal + Workflow,FIRM_POLICY,Fallback workflow test,Compliance D04/D15,NOT_STARTED,
RET-PRT-010,Client stop/decline,P0,Portal + Communication,CLIENT_AUTH,Suppression test,Consent/communications,NOT_STARTED,
RET-SIG-001,Signature ceremony,P0,Signature Domain,CLIENT_AUTH / ATTY_AUTH,Evidence package test,ENT-037,NOT_STARTED,
RET-SIG-002,Client signature authority,P0,Authority Gate,PROHIBITED,Prohibited-action test,AUTH-011,NOT_STARTED,
RET-SIG-003,Firm signatory authority,P0,Signature Domain,ATTY_AUTH,Role + evidence test,Compliance D09,NOT_STARTED,
RET-SIG-004,Evidence package,P0,Signature Domain,CLIENT_AUTH / ATTY_AUTH,Schema validation test,ENT-038,NOT_STARTED,
RET-SIG-005,No image-only evidence,P0,Signature Domain,PROHIBITED,Negative evidence test,Compliance D10,NOT_STARTED,
RET-SIG-006,Required signer completion,P0,Workflow Runtime,SYS_ADMIN,Transition guard test,package.fully_executed,NOT_STARTED,
RET-SIG-007,Signature invalidation,P0,Signature Domain,FIRM_POLICY / ATTY_AUTH,Invalidation E2E test,signature.invalidated,NOT_STARTED,
RET-SIG-008,Signed-version immutability,P0,Document Service,PROHIBITED,Mutation test,INV-006,NOT_STARTED,
RET-SIG-009,Completed-copy delivery,P0,Communication Service,SYS_ADMIN,Delivery gate test,completed_copy.delivered,NOT_STARTED,
RET-SIG-010,Provider abstraction,P1,Integration Hub,FIRM_POLICY,Adapter contract test,Anti-corruption boundary,NOT_STARTED,
RET-COM-001,Transactional email,P0,Communication Service,FIRM_POLICY,Template + delivery test,Compliance E01/E04,NOT_STARTED,
RET-COM-002,Consent-aware SMS,P1,Communication Service,FIRM_POLICY / CLIENT_AUTH,Consent/suppression test,Compliance E02/E06,NOT_STARTED,
RET-COM-003,No automated voice in v1,P1,Communication Service,PROHIBITED,Feature flag test,Compliance E03,NOT_STARTED,
RET-COM-004,Reminder cadence,P0,Workflow Runtime,FIRM_POLICY,Timer policy test,INV-010,NOT_STARTED,
RET-COM-005,Stop on revocation,P0,Communication Service,CLIENT_AUTH / FIRM_POLICY,Suppression race test,INV-012,NOT_STARTED,
RET-COM-006,Delivery evidence,P0,Communication Service,SYS_ADMIN,Audit completeness test,ENT-022,NOT_STARTED,
RET-COM-007,Escalate failures,P1,Workflow Runtime,FIRM_POLICY,Escalation test,Work Item,NOT_STARTED,
RET-COM-008,No marketing contamination,P0,Communication Service,PROHIBITED,Content policy test,Compliance E01/E07,NOT_STARTED,
RET-ACT-001,Activation checklist,P0,Activation Domain,FIRM_POLICY,Checklist contract test,ENT-040,NOT_STARTED,
RET-ACT-002,Named attorney activation,P0,Activation Domain,ATTY_AUTH,Authority test,Compliance F03,NOT_STARTED,
RET-ACT-003,No candidate shortcut,P0,Authority Gate,PROHIBITED,Prohibited transition test,INV-002,NOT_STARTED,
RET-ACT-004,"Command, not database insert",P0,Activation Adapter,SYS_ADMIN,Architecture test,INV-016,NOT_STARTED,
RET-ACT-005,Idempotent activation,P0,Activation Adapter,SYS_ADMIN,Retry test,Event rules,NOT_STARTED,
RET-ACT-006,Activation evidence manifest,P0,Activation Domain,FIRM_POLICY / ATTY_AUTH,Schema test,Transition contract,NOT_STARTED,
RET-ACT-007,Matter activated event,P0,Matter Owner,FIRM_POLICY,Contract test,Event catalog,NOT_STARTED,
RET-ACT-008,TRACE handoff,P0,TRACE Adapter,SYS_ADMIN,Cross-product E2E test,Product boundary,NOT_STARTED,
RET-ACT-009,Activation failure reconciliation,P0,Activation Adapter,SYS_ADMIN,Chaos/reconciliation test,INV-016,NOT_STARTED,
RET-ACT-010,Reissue workflow,P1,Workflow Runtime,FIRM_POLICY,Reissue E2E test,Compliance F08,NOT_STARTED,
RET-ADM-001,SaaS Admin owns governance,P0,SaaS Admin Adapter,FIRM_POLICY,Ownership test,Platform architecture,NOT_STARTED,
RET-ADM-002,Immutable policy snapshot,P0,Policy Registry,FIRM_POLICY,Audit test,INV-010,NOT_STARTED,
RET-ADM-003,Feature entitlements,P0,Authority Gate,FIRM_POLICY,Entitlement bypass test,Tenant governance,NOT_STARTED,
RET-ADM-004,Template administration separation,P0,SaaS Admin Adapter,ATTY_AUTH / FIRM_POLICY,Boundary test,Owner separation,NOT_STARTED,
RET-ADM-005,Platform extensions registered,P0,Contracts Package,SYS_ADMIN,Registry lint test,Ontology governance,NOT_STARTED,
RET-ADM-006,No duplicate shared services,P0,Architecture,SYS_ADMIN,Dependency/duplicate-symbol test,Shared platform,NOT_STARTED,
RET-ADM-007,Support access controls,P1,Tenant Core,FIRM_POLICY,JIT access test,Compliance G05,NOT_STARTED,
RET-ADM-008,Export portability,P1,Export Service,FIRM_POLICY,Export integrity test,Portability,NOT_STARTED,
RET-AUD-001,Normalized event envelope,P0,Audit Event Store,SYS_ADMIN,JSON Schema test,EventEnvelope v1.0.1,NOT_STARTED,
RET-AUD-002,Append-only audit,P0,Audit Event Store,SYS_ADMIN,Mutation/idempotency test,INV-015,NOT_STARTED,
RET-AUD-003,Authority linkage,P0,Authority Gate,SYS_ADMIN,Negative contract test,TV-CMP-002,NOT_STARTED,
RET-AUD-004,Correlation and causation,P0,Platform,SYS_ADMIN,Trace test,Event envelope,NOT_STARTED,
RET-AUD-005,No secrets in payload,P0,Audit Event Store,PROHIBITED,Payload scanner test,Event rule,NOT_STARTED,
RET-AUD-006,Audit completeness,P0,Compliance Projection,SYS_ADMIN,Metric test,MET-016,NOT_STARTED,
RET-AUD-007,Replayability,P0,Workflow Runtime,SYS_ADMIN,Replay test,Architecture principle,NOT_STARTED,
